"word","frequency","level"
"agricultural",0,1
"agriculture",0,1
"ah",33,1
"aha",1,1
"ahead",67,1
"aid",1,1
"aide",0,1
"aided",0,1
"aides",0,1
"aiding",0,1
"aids",0,1
"ailment",0,1
"ailments",0,1
"aim",0,1
"aimed",3,1
"aiming",1,1
"aimlessly",0,1
"aims",0,1
"ain't",8,1
"air",314,1
"air-conditioned",0,1
"airborne",0,1
"aircraft",0,1
"aires",0,1
"airfield",0,1
"airline",0,1
"airlines",0,1
"airplane",87,1
"airplanes",11,1
"airport",12,1
"airports",0,1
"airship",0,1
"airtight",0,1
"airways",0,1
"airy",0,1
"aisle",3,1
"aisles",0,1
"ajar",0,1
"akin",0,1
"al",227,1
"al's",16,1
"alabama",0,1
"aladdin",0,1
"alamo",0,1
"alan",61,1
"alarm",5,1
"alarmed",0,1
"alarming",0,1
"alarms",0,1
"alas",0,1
"alaska",6,1
"alaskan",0,1
"albany",0,1
"albert",77,1
"alberta",1,1
"album",0,1
"albums",0,1
"alcohol",0,1
"alcoholic",0,1
"alcoholics",0,1
"alcoholism",0,1
"aldrin",0,1
"ale",0,1
"alec",0,1
"alec's",0,1
"alert",0,1
"alerted",0,1
"alertness",0,1
"alex",44,1
"alexander",3,1
"alexander's",0,1
"alexandra",1,1
"alexandria",0,1
"alf",36,1
"alfalfa",0,1
"alfred",0,1
"algae",0,1
"algebra",0,1
"algeria",0,1
"ali",1,1
"alice",20,1
"alice's",5,1
"alien",1,1
"alienated",0,1
"alienation",0,1
"aliens",0,1
"alight",0,1
"aligned",0,1
"alignment",0,1
"alike",54,1
"alison",13,1
"alive",29,1
"alkali",0,1
"alkaline",0,1
"all",3931,1
"all-important",0,1
"all-powerful",0,1
"allah",0,1
"allan",1,1
"alleged",0,1
"allegheny",0,1
"allegiance",0,1
"allen",28,1
"allergic",0,1
"allergies",0,1
"allergy",0,1
"alley",15,1
"alleys",0,1
"alliance",0,1
"alliances",0,1
"allied",0,1
"allies",0,1
"alligator",25,1
"alligators",0,1
"allison",0,1
"allocated",0,1
"allocation",0,1
"allotted",0,1
"allow",0,1
"allowance",1,1
"allowances",0,1
"allowed",6,1
"allowing",0,1
"allows",0,1
"alloy",0,1
"alloys",0,1
"ally",0,1
"alma",26,1
"almanac",0,1
"almanzo",0,1
"almighty",0,1
"almost",176,1
"aloft",0,1
"alone",210,1
"along",302,1
"alongside",2,1
"aloof",0,1
"aloud",3,1
"alpha",2,1
"alphabet",3,1
"alphabetical",0,1
"alphabetically",0,1
"alpine",0,1
"alps",0,1
"already",114,1
"also",160,1
"altar",0,1
"alter",0,1
"alteration",0,1
"alterations",0,1
"altered",0,1
"altering",0,1
"alternate",0,1
"alternately",0,1
"alternating",0,1
"alternative",0,1
"alternatives",0,1
"alters",0,1
"although",3,1
"altitude",0,1
"altitudes",0,1
"altogether",0,1
"aluminium",0,1
"aluminum",0,1
"alva",0,1
"alvin",20,1
"always",407,1
"am",1115,1
"amanda",13,1
"amateur",0,1
"amateurs",0,1
"amazed",1,1
"amazement",0,1
"amazing",1,1
"amazingly",0,1
"amazon",2,1
"ambassador",0,1
"ambassadors",0,1
"amber",0,1
"ambiguity",0,1
"ambiguous",0,1
"ambition",0,1
"ambitions",0,1
"ambitious",0,1
"ambrose",0,1
"ambulance",4,1
"ambush",0,1
"amelia",64,1
"amended",0,1
"amendment",0,1
"amendments",0,1
"america",33,1
"america's",0,1
"american",11,1
"americans",2,1
"americas",0,1
"ames",0,1
"amiable",0,1
"amid",0,1
"amidst",0,1
"amino",0,1
"amish",0,1
"ammonia",0,1
"ammonium",0,1
"ammunition",0,1
"among",13,1
"amongst",0,1
"amos",0,1
"amount",0,1
"amounted",0,1
"amounts",0,1
"amphibians",0,1
"ample",0,1
"amplified",0,1
"amplitude",0,1
"amsterdam",0,1
"amundsen",0,1
"amuse",0,1
"amused",0,1
"amusement",0,1
"amusing",0,1
"amy",68,1
"amy's",22,1
"an",866,1
"an'",0,1
"ana",74,1
"analogous",0,1
"analogy",0,1
"analyses",0,1
"analysis",0,1
"analyst",0,1
"analysts",0,1
"analytical",0,1
"analyze",0,1
"analyzed",0,1
"analyzing",0,1
"ananse",26,1
"anansi",28,1
"anatomical",0,1
"anatomy",1,1
"ancestor",0,1
"ancestors",0,1
"ancestral",0,1
"ancestry",0,1
"anchor",0,1
"anchorage",0,1
"anchored",0,1
"ancient",2,1
"ancients",0,1
"and",17513,1
"29314",NA,1
"anderson",0,1
"andes",0,1
"andre",17,1
"andrea",0,1
"andrew",47,1
"andrews",0,1
"andromeda",0,1
"andy",113,1
"andy's",7,1
"anemia",0,1
"anemones",0,1
"anew",0,1
"angel",12,1
"angela",3,1
"angels",0,1
"anger",8,1
"angered",0,1
"angie",2,1
"angle",0,1
"angles",0,1
"anglo-saxon",0,1
"anglo-saxons",0,1
"angrily",6,1
"angry",101,1
"anguish",0,1
"angular",0,1
"angus",3,1
"animal",203,1
"animal's",1,1
"animals",423,1
"animals'",0,1
"animated",0,1
"anita",9,1
"ankle",1,1
"ankles",3,1
"ann",204,1
"ann's",3,1
"anna",59,1
"anna's",1,1
"annabelle",2,1
"anne",6,1
"anne's",0,1
"annie",61,1
"annie's",10,1
"annika",0,1
"anniversary",0,1
"announce",0,1
"announced",2,1
"announcement",0,1
"announcements",0,1
"announcer",1,1
"announces",0,1
"announcing",0,1
"annoy",0,1
"annoyance",0,1
"annoyed",2,1
"annoying",0,1
"annual",0,1
"annually",0,1
"anode",0,1
"anonymous",0,1
"another",557,1
"another's",0,1
"anpao",0,1
"answer",156,1
"answered",239,1
"answering",3,1
"answers",14,1
"ant",114,1
"antagonism",0,1
"antarctic",0,1
"antarctica",0,1
"antecedent",0,1
"antelope",0,1
"antenna",0,1
"antennae",0,1
"anterior",0,1
"anthem",0,1
"anthony",4,1
"anthropologist",0,1
"anthropologists",0,1
"anthropology",0,1
"antibiotics",0,1
"antibodies",0,1
"anticipate",0,1
"anticipated",0,1
"anticipating",0,1
"anticipation",0,1
"antics",0,1
"antique",0,1
"antiques",0,1
"antiquity",0,1
"antiseptic",0,1
"antislavery",0,1
"antitrust",0,1
"antlers",1,1
"antoine",0,1
"anton",0,1
"antonio",0,1
"antony",0,1
"ants",59,1
"anvil",0,1
"anxieties",0,1
"anxiety",0,1
"anxious",1,1
"anxiously",0,1
"any",443,1
"anybody",23,1
"anybody's",0,1
"anyhow",7,1
"anymore",49,1
"anyone",126,1
"anyone's",1,1
"anything",350,1
"anytime",2,1
"anyway",80,1
"anywhere",38,1
"aorta",0,1
"apache",2,1
"apaches",0,1
"apart",22,1
"apartment",99,1
"apartments",0,1
"apathy",0,1
"ape",19,1
"apes",0,1
"apex",0,1
"aphids",0,1
"apiece",1,1
"apollo",0,1
"apologetically",0,1
"apologize",0,1
"apologized",0,1
"apology",0,1
"appalachian",0,1
"appalachians",0,1
"appalled",0,1
"appalling",0,1
"apparatus",0,1
"apparel",0,1
"apparent",0,1
"apparently",0,1
"appeal",0,1
"appealed",0,1
"appealing",0,1
"appeals",0,1
"appear",0,1
"appearance",0,1
"appearances",0,1
"appeared",11,1
"appearing",1,1
"appears",1,1
"appendix",0,1
"appetite",0,1
"appetites",0,1
"applauded",0,1
"applause",0,1
"apple",53,1
"applegate",0,1
"apples",62,1
"applesauce",0,1
"appliance",0,1
"appliances",0,1
"applicable",0,1
"applicant",0,1
"applicants",0,1
"application",2,1
"applications",0,1
"applied",0,1
"applies",0,1
"apply",0,1
"applying",0,1
"appoint",0,1
"appointed",0,1
"appointment",0,1
"appointments",0,1
"appraisal",0,1
"appreciable",0,1
"appreciate",2,1
"appreciated",0,1
"appreciation",0,1
"apprehension",0,1
"apprehensive",0,1
"apprentice",0,1
"apprentices",0,1
"apprenticeship",0,1
"approach",0,1
"approached",0,1
"approaches",0,1
"approaching",0,1
"appropriate",0,1
"appropriated",0,1
"appropriately",0,1
"approval",0,1
"approve",1,1
"approved",0,1
"approves",0,1
"approximate",0,1
"approximately",0,1
"april",3,1
"apron",9,1
"aprons",1,1
"apt",0,1
"aptitude",0,1
"aptly",0,1
"aquarium",3,1
"aquatic",0,1
"aqueduct",0,1
"aqueducts",0,1
"aqueous",0,1
"arab",0,1
"arabia",0,1
"arabian",0,1
"arabic",0,1
"arabs",0,1
"arbitrarily",0,1
"arbitrary",0,1
"arbitration",0,1
"arc",0,1
"arch",1,1
"archaeologist",0,1
"archaeologists",0,1
"archbishop",0,1
"arched",0,1
"archeologists",0,1
"archers",0,1
"arches",0,1
"archie",1,1
"archimedes",0,1
"arching",0,1
"architect",0,1
"architects",0,1
"architectural",0,1
"architecture",0,1
"arctic",0,1
"arden",12,1
"ardent",0,1
"arduous",0,1
"are",4359,1
"area",2,1
"areas",0,1
"aren't",61,1
"arena",0,1
"argentina",0,1
"argon",0,1
"argue",2,1
"argued",1,1
"argues",0,1
"arguing",3,1
"argument",1,1
"arguments",0,1
"arid",0,1
"arise",0,1
"arisen",0,1
"arises",0,1
"arising",0,1
"aristocracy",0,1
"aristocrat",0,1
"aristocratic",0,1
"aristotle",0,1
"aristotle's",0,1
"arithmetic",7,1
"arizona",3,1
"ark",0,1
"arkady",0,1
"arkansas",0,1
"arm",180,1
"arm's",0,1
"armada",0,1
"armand",0,1
"armchair",0,1
"armed",0,1
"armful",0,1
"armies",0,1
"armor",0,1
"armored",0,1
"armour",0,1
"arms",110,1
"armstrong",0,1
"army",10,1
"arnold",15,1
"aroma",0,1
"arose",0,1
"around",1147,1
"arousal",0,1
"arouse",0,1
"aroused",0,1
"arousing",1,1
"arrange",0,1
"arranged",0,1
"arrangement",0,1
"arrangements",0,1
"arranging",0,1
"array",0,1
"arrest",0,1
"arrested",0,1
"arrests",0,1
"arrietty",0,1
"arrival",0,1
"arrivals",0,1
"arrive",4,1
"arrived",8,1
"arrives",0,1
"arriving",1,1
"arrogance",0,1
"arrogant",0,1
"arrow",16,1
"arrowheads",0,1
"arrows",4,1
"arsenal",0,1
"arsenic",0,1
"art",41,1
"arteries",0,1
"artery",0,1
"arthritis",0,1
"arthur",83,1
"arthur's",1,1
"article",0,1
"articles",0,1
"articulate",0,1
"articulation",0,1
"artifacts",0,1
"artificial",0,1
"artificially",0,1
"artillery",0,1
"artisans",0,1
"artist",1,1
"artistic",0,1
"artists",0,1
"arts",1,1
"as",2243,1
"asa",0,1
"asbestos",0,1
"ascended",0,1
"ascending",0,1
"ascent",0,1
"ascertain",0,1
"ash",3,1
"ashamed",0,1
"ashes",1,1
"ashley",0,1
"ashore",3,1
"asia",0,1
"asian",0,1
"asians",0,1
"asiatic",0,1
"aside",3,1
"ask",339,1
"asked",2583,1
"asking",31,1
"asks",76,1
"asleep",94,1
"aspect",0,1
"aspects",0,1
"aspen",0,1
"asphalt",0,1
"aspirations",0,1
"aspirin",0,1
"ass",0,1
"assassinated",0,1
"assassination",0,1
"assault",0,1
"assaults",0,1
"assemble",0,1
"assembled",0,1
"assemblies",1,1
"assembling",0,1
"assembly",3,1
"assent",0,1
"assert",0,1
"asserted",0,1
"asserting",0,1
"assertion",0,1
"assertive",0,1
"assess",0,1
"assessed",0,1
"assessing",0,1
"assessment",0,1
"asset",0,1
"assets",0,1
"assign",0,1
"assigned",0,1
"assigning",0,1
"assignment",0,1
"assignments",0,1
"assimilated",0,1
"assist",0,1
"assistance",0,1
"assistant",0,1
"assistants",0,1
"assisted",0,1
"assisting",0,1
"assists",0,1
"associate",0,1
"associated",0,1
"associates",0,1
"association",0,1
"associations",0,1
"assorted",0,1
"assortment",0,1
"assume",0,1
"assumed",0,1
"assumes",0,1
"assuming",0,1
"assumption",0,1
"assumptions",0,1
"assurance",0,1
"assure",0,1
"assured",0,1
"assures",0,1
"assuring",0,1
"asteroid",0,1
"asteroids",0,1
"asthma",0,1
"astonished",0,1
"astonishing",0,1
"astonishment",0,1
"astounded",0,1
"astounding",0,1
"astride",0,1
"astronaut",4,1
"astronauts",1,1
"astronomer",0,1
"astronomers",0,1
"astronomical",0,1
"astronomy",0,1
"asylum",0,1
"at",5635,1
"ate",207,1
"athena",0,1
"athene",0,1
"athenian",0,1
"athenians",0,1
"athens",0,1
"atherosclerosis",0,1
"athlete",0,1
"athletes",0,1
"athletic",0,1
"athletics",0,1
"atlanta",0,1
"atlantic",0,1
"atlas",0,1
"atmosphere",0,1
"atmospheric",0,1
"atom",0,1
"atomic",0,1
"atoms",0,1
"atop",0,1
"atrium",0,1
"attach",0,1
"attached",2,1
"attaches",0,1
"attaching",0,1
"attachment",0,1
"attachments",0,1
"attack",0,1
"attacked",0,1
"attacking",0,1
"attacks",0,1
"attain",0,1
"attained",0,1
"attaining",0,1
"attempt",0,1
"attempted",0,1
"attempting",0,1
"attempts",0,1
"attend",1,1
"attendance",0,1
"attendant",0,1
"attendants",0,1
"attended",0,1
"attending",0,1
"attention",13,1
"attentions",0,1
"attentive",0,1
"attentively",0,1
"attic",4,1
"atticus",0,1
"attire",0,1
"attitude",0,1
"attitudes",0,1
"attorney",0,1
"attract",0,1
"attracted",0,1
"attracting",0,1
"attraction",0,1
"attractions",0,1
"attractive",0,1
"attractiveness",0,1
"attracts",0,1
"attribute",0,1
"attributed",0,1
"attributes",0,1
"auction",0,1
"audible",0,1
"audience",1,1
"audiences",0,1
"audio",0,1
"audit",0,1
"auditorium",1,1
"auditory",0,1
"audubon",0,1
"august",4,1
"augustine",0,1
"augustus",8,1
"aunt",147,1
"aunt's",0,1
"auntie",0,1
"aunts",1,1
"auricle",0,1
"austin",0,1
"austine",0,1
"australia",0,1
"australian",0,1
"austria",0,1
"austria-hungary",0,1
"austrian",1,1
"authentic",0,1
"author",2,1
"author's",0,1
"authoritarian",0,1
"authoritative",0,1
"authorities",0,1
"authority",0,1
"authorized",0,1
"authors",0,1
"auto",6,1
"autobiography",0,1
"autocratic",0,1
"automated",0,1
"automatic",0,1
"automatically",0,1
"automation",0,1
"automobile",0,1
"automobiles",0,1
"automotive",0,1
"autonomic",0,1
"autonomous",0,1
"autonomy",0,1
"autos",0,1
"autumn",1,1
"auxiliary",0,1
"avail",0,1
"availability",0,1
"available",0,1
"avalanche",3,1
"avenue",8,1
"avenues",0,1
"average",0,1
"averaged",0,1
"averages",0,1
"averaging",0,1
"aversion",0,1
"avery",1,1
"aviation",0,1
"avoid",0,1
"avoidance",0,1
"avoided",0,1
"avoiding",0,1
"avoids",0,1
"aw",15,1
"await",1,1
"awaited",0,1
"awaiting",0,1
"awake",26,1
"awaken",0,1
"awakened",0,1
"awakening",0,1
"award",0,1
"awarded",0,1
"awards",0,1
"aware",1,1
"awareness",0,1
"away",1385,1
"awe",0,1
"awed",0,1
"awesome",0,1
"awful",47,1
"awfully",7,1
"awhile",3,1
"awkward",0,1
"awkwardly",0,1
"awoke",5,1
"ax",11,1
"axe",0,1
"axes",0,1
"axis",0,1
"axle",2,1
"axles",0,1
"axon",0,1
"ay",1,1
"aye",2,1
"aztec",0,1
"aztecs",0,1
"b",30,1
"baba",0,1
"babe",6,1
"babies",40,1
"baboon",0,1
"baboons",0,1
"baby",283,1
"baby's",7,1
"baby-sitting",3,1
"babylon",0,1
"babylonia",0,1
"babylonian",0,1
"babylonians",0,1
"babysitting",2,1
"bachelor",0,1
"bachelor's",0,1
"back",2096,1
"backbone",0,1
"backbones",0,1
"backed",21,1
"background",0,1
"backgrounds",0,1
"backing",2,1
"backpack",4,1
"backs",3,1
"backstage",0,1
"backward",8,1
"backwards",4,1
"backyard",11,1
"bacon",11,1
"bacteria",0,1
"bacterial",0,1
"bacterium",0,1
"bad",421,1
"bade",1,1
"badge",0,1
"badger",27,1
"badly",14,1
"baffled",1,1
"baffling",0,1
"bag",252,1
"baggage",2,1
"baggy",1,1
"baghdad",0,1
"bags",49,1
"bahamas",0,1
"bail",0,1
"bailey",3,1
"bait",8,1
"baja",0,1
"bake",52,1
"baked",14,1
"baker",21,1
"baker's",0,1
"bakers",0,1
"bakery",13,1
"baking",7,1
"balance",0,1
"balanced",0,1
"balances",0,1
"balancing",0,1
"balcony",0,1
"bald",18,1
"bale",0,1
"baleen",0,1
"bales",0,1
"balkan",0,1
"balkans",0,1
"ball",587,1
"ballads",0,1
"ballerina",0,1
"ballet",0,1
"balloon",76,1
"balloons",19,1
"ballot",0,1
"ballots",0,1
"balls",23,1
"baltic",0,1
"baltimore",0,1
"bambi",0,1
"bamboo",2,1
"ban",0,1
"banana",1,1
"bananas",0,1
"band",61,1
"bandage",7,1
"bandaged",1,1
"bandages",0,1
"banded",0,1
"bandits",0,1
"bands",6,1
"bang",64,1
"banged",13,1
"banging",3,1
"bangs",0,1
"banished",0,1
"banjo",8,1
"bank",55,1
"bank's",0,1
"banked",0,1
"banker",0,1
"bankers",0,1
"banking",2,1
"bankrupt",0,1
"bankruptcy",0,1
"banks",4,1
"banned",0,1
"banner",0,1
"banners",0,1
"banquet",0,1
"baptist",0,1
"baptized",0,1
"bar",39,1
"barbara",12,1
"barbarian",0,1
"barbarians",0,1
"barbed",0,1
"barber",2,1
"barbers",0,1
"barbershop",0,1
"barbiturates",0,1
"barcelona",0,1
"bard",0,1
"bare",13,1
"bared",0,1
"barefoot",0,1
"barely",5,1
"bargain",1,1
"bargaining",0,1
"barge",5,1
"barges",0,1
"bark",58,1
"barked",16,1
"barker",0,1
"barking",15,1
"barks",2,1
"barley",2,1
"barn",50,1
"barnacles",0,1
"barnes",0,1
"barney",16,1
"barns",0,1
"barnum",0,1
"barnyard",2,1
"barometer",0,1
"baron",0,1
"barons",0,1
"barracks",0,1
"barred",0,1
"barrel",8,1
"barrels",0,1
"barren",0,1
"barrier",0,1
"barriers",0,1
"barry",0,1
"bars",13,1
"barter",0,1
"bartholomew",0,1
"barton",0,1
"basal",0,1
"base",20,1
"baseball",48,1
"based",1,1
"basement",12,1
"bases",0,1
"basic",0,1
"basically",0,1
"basics",0,1
"basil",8,1
"basin",0,1
"basins",0,1
"basis",0,1
"basket",47,1
"basketball",12,1
"baskets",11,1
"bass",1,1
"bastard",0,1
"bat",51,1
"batch",0,1
"bates",0,1
"bath",26,1
"bathe",0,1
"bathed",0,1
"bathing",2,1
"bathroom",23,1
"bathrooms",1,1
"baths",5,1
"bathtub",6,1
"baton",0,1
"bats",20,1
"batted",0,1
"batter",5,1
"battered",0,1
"batteries",0,1
"battering",0,1
"battery",1,1
"batting",0,1
"battle",0,1
"battled",0,1
"battlefield",0,1
"battles",0,1
"bauxite",0,1
"bawled",3,1
"bawling",1,1
"baxter",21,1
"bay",5,1
"bays",0,1
"be",3366,1
"beach",82,1
"beaches",11,1
"beacon",0,1
"bead",0,1
"beaded",0,1
"beads",1,1
"beady",0,1
"beak",6,1
"beaks",0,1
"beam",8,1
"beamed",1,1
"beaming",0,1
"beams",3,1
"bean",21,1
"beans",44,1
"bear",902,1
"bear's",20,1
"beard",4,1
"bearded",0,1
"beards",0,1
"bearer",0,1
"bearing",0,1
"bearings",2,1
"bears",93,1
"beast",26,1
"beasts",3,1
"beat",65,1
"beaten",3,1
"beater",4,1
"beating",13,1
"beatrice",17,1
"beats",0,1
"beauties",0,1
"beautiful",157,1
"beautifully",0,1
"beauty",19,1
"beaver",5,1
"beavers",0,1
"became",48,1
"because",463,1
"becker",29,1
"beckoned",0,1
"becky",23,1
"become",25,1
"becomes",5,1
"becoming",0,1
"bed",675,1
"bedding",0,1
"bedelia",64,1
"bedford",0,1
"bedouin",0,1
"bedouins",0,1
"bedrock",0,1
"bedroom",33,1
"bedrooms",0,1
"beds",24,1
"bedside",3,1
"bedtime",6,1
"bee",55,1
"beebe",0,1
"beech",0,1
"beecher",0,1
"beef",0,1
"been",592,1
"beer",0,1
"bees",51,1
"beeswax",0,1
"beet",0,1
"beethoven",0,1
"beetle",6,1
"beetles",1,1
"beets",6,1
"beezus",0,1
"before",535,1
"beforehand",0,1
"beg",5,1
"began",598,1
"beggar",0,1
"beggars",0,1
"begged",20,1
"begging",0,1
"begin",60,1
"beginner",0,1
"beginners",0,1
"beginning",23,1
"beginnings",0,1
"begins",29,1
"begun",0,1
"behalf",0,1
"behave",0,1
"behaved",1,1
"behaves",0,1
"behaving",0,1
"behavior",0,1
"behavioral",0,1
"behaviors",0,1
"behaviour",0,1
"beheld",0,1
"behind",278,1
"behold",1,1
"being",194,1
"beings",0,1
"belden",0,1
"belgian",1,1
"belgium",0,1
"belief",0,1
"beliefs",0,1
"believe",117,1
"believed",12,1
"believers",0,1
"believes",0,1
"believing",1,1
"belinda",57,1
"bell",248,1
"bell's",6,1
"belle",0,1
"bellevue",0,1
"bellies",0,1
"bellowed",0,1
"bellowing",0,1
"bellows",0,1
"bells",8,1
"belly",0,1
"belong",38,1
"belonged",14,1
"belonging",0,1
"belongings",0,1
"belongs",19,1
"beloved",0,1
"below",63,1
"belt",38,1
"belts",7,1
"ben",490,1
"ben's",41,1
"bench",55,1
"benches",5,1
"bend",22,1
"bending",6,1
"bends",0,1
"beneath",3,1
"benedict",0,1
"beneficial",0,1
"benefit",0,1
"benefited",0,1
"benefits",0,1
"benevolent",0,1
"bengal",0,1
"benign",0,1
"benjamin",0,1
"benjy",0,1
"bennett",0,1
"benny",12,1
"benson",26,1
"bent",51,1
"benton",7,1
"bering",0,1
"berkeley",2,1
"berlin",0,1
"bermuda",0,1
"bernadette",0,1
"bernard",0,1
"berries",16,1
"berry",0,1
"bert",43,1
"bertha",0,1
"bertrand",2,1
"beset",0,1
"beside",97,1
"besides",31,1
